fit_algorithm,n_process,time
FirstFit,1,0.07385492324829102
FirstFit,2,0.0732421875
FirstFit,3,0.07110905647277832
FirstFit,4,0.07282686233520508
FirstFit,5,0.07454156875610352
FirstFit,6,0.07325983047485352
FirstFit,7,0.07282400131225586
FirstFit,8,0.06835055351257324
FirstFit,9,0.07782649993896484
FirstFit,10,0.07565522193908691
BestFit,1,0.08040452003479004
BestFit,2,0.07132339477539062
BestFit,3,0.07448506355285645
BestFit,4,0.06981873512268066
BestFit,5,0.0689384937286377
BestFit,6,0.07039117813110352
BestFit,7,0.07139992713928223
BestFit,8,0.07306265830993652
BestFit,9,0.07141327857971191
BestFit,10,0.07298421859741211
WorstFit,1,0.07070517539978027
WorstFit,2,0.08022832870483398
WorstFit,3,0.0702512264251709
WorstFit,4,0.07064175605773926
WorstFit,5,0.0720219612121582
WorstFit,6,0.07461094856262207
WorstFit,7,0.07402229309082031
WorstFit,8,0.08831310272216797
WorstFit,9,0.07303118705749512
WorstFit,10,0.07354068756103516
