fit_algorithm,n_process,time
FirstFit,1,0.07558035850524902
FirstFit,2,0.0729672908782959
FirstFit,3,0.07967591285705566
FirstFit,4,0.07807612419128418
FirstFit,5,0.07144355773925781
FirstFit,6,0.06900548934936523
FirstFit,7,0.08139872550964355
FirstFit,8,0.07161927223205566
FirstFit,9,0.07683491706848145
FirstFit,10,0.07505416870117188
BestFit,1,0.07238507270812988
BestFit,2,0.06910920143127441
BestFit,3,0.0709228515625
BestFit,4,0.0792534351348877
BestFit,5,0.07328486442565918
BestFit,6,0.06927776336669922
BestFit,7,0.08378720283508301
BestFit,8,0.07168364524841309
BestFit,9,0.07164740562438965
BestFit,10,0.07454776763916016
WorstFit,1,0.07039141654968262
WorstFit,2,0.07678794860839844
WorstFit,3,0.07154178619384766
WorstFit,4,0.07195568084716797
WorstFit,5,0.0701451301574707
WorstFit,6,0.06953310966491699
WorstFit,7,0.06983280181884766
WorstFit,8,0.0688631534576416
WorstFit,9,0.06956744194030762
WorstFit,10,0.0702812671661377
